date,industry,lprod,gva,labour
1997,G: 45 to 47,89.7486,84.5676,94.2271
1998,G: 45 to 47,86.2229,82.9962,96.2577
1999,G: 45 to 47,83.3713,81.6289,97.91
2000,G: 45 to 47,89.7796,87.3185,97.2587
2001,G: 45 to 47,86.4821,85.6957,99.0907
2002,G: 45 to 47,86.9471,85.6336,98.4893
2003,G: 45 to 47,86.6276,85.6836,98.9103
2004,G: 45 to 47,87.5633,87.3021,99.7017
2005,G: 45 to 47,92.4497,91.1894,98.6367
2006,G: 45 to 47,98.5479,95.5242,96.9317
2007,G: 45 to 47,98.3232,95.5275,97.1567
2008,G: 45 to 47,95.1276,93.9875,98.8015
2009,G: 45 to 47,88.4545,83.4062,94.2928
2010,G: 45 to 47,97.0801,91.3414,94.0888
2011,G: 45 to 47,97.9183,92.0754,94.0329
2012,G: 45 to 47,96.1399,92.1033,95.8014
2013,G: 45 to 47,93.2165,91.006,97.6286
2014,G: 45 to 47,98.1836,97.2977,99.0977
2015,G: 45 to 47,98.48,97.9065,99.4176
2016,G: 45 to 47,99.0516,98.5764,99.5203
2017,G: 45 to 47,100.7231,101.1132,100.3873
2018,G: 45 to 47,100.1057,100.3725,100.2666
2019,G: 45 to 47,100.0,100.0,100.0
2020,G: 45 to 47,93.021,81.5524,87.671
2021,G: 45 to 47,91.1003,84.607,92.8723
1997,H: 49 to 53,97.5609,78.2296,80.1854
1998,H: 49 to 53,102.7796,85.0085,82.7095
1999,H: 49 to 53,105.1645,89.3569,84.9687
2000,H: 49 to 53,107.7209,91.4311,84.8778
2001,H: 49 to 53,102.9945,89.3494,86.7516
2002,H: 49 to 53,96.4764,84.5703,87.6591
2003,H: 49 to 53,100.3433,87.8164,87.5159
2004,H: 49 to 53,107.2463,91.9003,85.6909
2005,H: 49 to 53,106.1064,91.8122,86.5284
2006,H: 49 to 53,109.3133,95.4456,87.3138
2007,H: 49 to 53,113.7852,96.6869,84.9732
2008,H: 49 to 53,115.2828,99.1249,85.9841
2009,H: 49 to 53,101.7291,87.4763,85.9894
2010,H: 49 to 53,111.019,93.0002,83.7696
2011,H: 49 to 53,116.0912,95.5337,82.292
2012,H: 49 to 53,113.1556,95.9111,84.7604
2013,H: 49 to 53,115.7643,98.0077,84.6614
2014,H: 49 to 53,116.3312,99.1298,85.2134
2015,H: 49 to 53,104.0524,92.4366,88.8366
2016,H: 49 to 53,100.7076,93.9386,93.2786
2017,H: 49 to 53,103.082,95.1477,92.3029
2018,H: 49 to 53,103.6359,98.1753,94.731
2019,H: 49 to 53,100.0,100.0,100.0
2020,H: 49 to 53,80.0471,70.2752,87.7923
2021,H: 49 to 53,84.6082,77.8547,92.0179
1997,I: 55 and 56,112.6095,80.003,71.0446
1998,I: 55 and 56,114.2819,79.7734,69.8041
1999,I: 55 and 56,116.7188,81.2085,69.5762
2000,I: 55 and 56,116.7413,81.6544,69.9447
2001,I: 55 and 56,114.2534,80.4158,70.3837
